Activity,Description
 `Lesson Prayer`,A brief reminder to focus on what is important
 `Equipment Check`,Things you must have in your backpack before you proceed with the next phase of your journey
 Seven Practical Points,The lesson's key learning objectives
 `Word and Verse Warm-ups`,"Starting with Lesson 3, these are brief ""stretching"" before doing the `Anki` workouts, narrated by Izzy!"
 `Anki`<small>^[<small>See [appendix](#anki_faq) for more information on Anki if you are not familiar with it.</small>]</small>, this is where the majority of your learning will take place.  There will be three stages to each Lesson
`A. Vocab`,By the end of the course you will have around 500 words memorized
 `B. Grammar`,Here you will work through (and at times grapple with) the main grammar concepts discussed in the Lesson
 `C. Study Verses`,"You will begin to translate from Hebrew to English. This may be very difficult at first but stick with it!  Keep in mind, the goal is translation and comprehension, not rote memorization."
`Worksheets`,Additional activities to reinforce learning (selected lessons)
`Ruth Pursuit`,"Similar to the ""bag the letter"" in _Hebrew Quest_. You will identify examples of grammar concepts in Ruth Chapter 1."
`Hebrew Quest Study Passages`,"Beginning with Lesson 18, we will link-up with the Hebrew Quest study passages"
`Quest Quiz`,Self-assessment activity to measure your familiarity with the material.  No grades are recorded or granted in this course. 
`Twelve Tribes Badges` and `Graduation`,Fun things that mark the completion of various stages of your GRAMMAR Quest
